"state","year","month","outage_count","max_outage_duration","customer_weighted_hours","date"
"FL",2015,1,594,11.5,670728.25,2015-01-01
"FL",2015,2,630,15.5,841079,2015-02-01
"FL",2015,3,627,23.25,655384.75,2015-03-01
"FL",2015,4,957,13.5,1133988,2015-04-01
"FL",2015,5,916,12.75,847227.5,2015-05-01
"FL",2015,6,1405,23.25,1864473.25,2015-06-01
"FL",2015,7,1342,22.25,1815968.75,2015-07-01
"FL",2015,8,1287,76.75,1751143.75,2015-08-01
"FL",2015,9,1070,29,1302260,2015-09-01
"FL",2015,10,737,19.25,708989,2015-10-01
"FL",2015,11,656,12.5,622452.5,2015-11-01
"FL",2015,12,592,20,700212,2015-12-01
"FL",2016,1,886,35.25,2160722,2016-01-01
"FL",2016,2,653,37.5,1261448.5,2016-02-01
"FL",2016,3,684,30,846031.75,2016-03-01
"FL",2016,4,636,20.5,659975.75,2016-04-01
"FL",2016,5,998,113.5,1596860.25,2016-05-01
"FL",2016,6,1259,39.75,2114561.5,2016-06-01
"FL",2016,7,1350,19,1670542.25,2016-07-01
"FL",2016,8,1258,28.25,1630618.75,2016-08-01
"FL",2016,9,1161,116.5,8183369,2016-09-01
"FL",2016,10,862,150.5,52431092.5,2016-10-01
"FL",2016,11,590,19,694667.5,2016-11-01
"FL",2016,12,657,14.25,718362,2016-12-01
"FL",2017,1,757,41.75,1426792.75,2017-01-01
"FL",2017,2,669,45.25,1282549.25,2017-02-01
"FL",2017,3,634,17.5,817903.25,2017-03-01
"FL",2017,4,737,17.25,895134.25,2017-04-01
"FL",2017,5,1114,28.25,1557487.5,2017-05-01
"FL",2017,6,1216,20.5,1472455,2017-06-01
"FL",2017,7,1402,36.5,1798840,2017-07-01
"FL",2017,8,1198,32.5,1345047.25,2017-08-01
"FL",2017,9,919,266,532294703.25,2017-09-01
"FL",2017,10,1150,114.25,2273897,2017-10-01
"FL",2017,11,402,11.75,438767.25,2017-11-01
"FL",2017,12,622,12.5,680026,2017-12-01
"FL",2018,1,1103,13.5,1364369.25,2018-01-01
"FL",2018,2,553,29.25,553881.25,2018-02-01
"FL",2018,3,729,15.75,864195,2018-03-01
"FL",2018,4,891,186,1407815.25,2018-04-01
"FL",2018,5,1158,31.5,1327441,2018-05-01
"FL",2018,6,1312,30.25,1699622,2018-06-01
"FL",2018,7,1328,21,1814930.5,2018-07-01
"FL",2018,8,1329,22.5,1742035.75,2018-08-01
"FL",2018,9,1062,90.5,1389857,2018-09-01
"FL",2018,10,891,532.75,41679423.5,2018-10-01
"FL",2018,11,891,25.75,984862.75,2018-11-01
"FL",2018,12,873,35.75,1414076,2018-12-01
"FL",2019,1,818,12.5,925162,2019-01-01
"FL",2019,2,613,15.5,549065,2019-02-01
"FL",2019,3,687,13.75,807085,2019-03-01
"FL",2019,4,961,47,1778904.75,2019-04-01
"FL",2019,5,1105,41.25,1547261.5,2019-05-01
"FL",2019,6,1445,107.5,2016257.25,2019-06-01
"FL",2019,7,1515,30.25,2055537.5,2019-07-01
"FL",2019,8,1241,18.75,1384230,2019-08-01
"FL",2019,9,958,25,1197637.75,2019-09-01
"FL",2019,10,983,45.75,1246280.5,2019-10-01
"FL",2019,11,594,24.75,799742,2019-11-01
"FL",2019,12,732,11.5,781541,2019-12-01
"FL",2020,1,590,14.5,680018.75,2020-01-01
"FL",2020,2,864,45.75,2101195.25,2020-02-01
"FL",2020,3,702,37.5,625978.5,2020-03-01
"FL",2020,4,1078,63.75,1845763.75,2020-04-01
"FL",2020,5,1088,31,1462078.5,2020-05-01
"FL",2020,6,1286,67.25,1500864.75,2020-06-01
"FL",2020,7,1431,20.5,1831550.75,2020-07-01
"FL",2020,8,1462,33,2007360.75,2020-08-01
"FL",2020,9,1272,186.75,17220574,2020-09-01
"FL",2020,10,990,48.5,1270022.75,2020-10-01
"FL",2020,11,910,78.75,3022868.5,2020-11-01
"FL",2020,12,774,19,1209282,2020-12-01
"FL",2021,1,543,11.75,523377.75,2021-01-01
"FL",2021,2,758,11.75,792918,2021-02-01
"FL",2021,3,780,44.75,786978.75,2021-03-01
"FL",2021,4,965,45.5,2315894.75,2021-04-01
"FL",2021,5,963,77.5,1029847.5,2021-05-01
"FL",2021,6,1388,18.25,1815550.75,2021-06-01
"FL",2021,7,1414,29.25,2080678,2021-07-01
"FL",2021,8,1429,43.75,2266934.25,2021-08-01
"FL",2021,9,947,68.5,1127584.5,2021-09-01
"FL",2021,10,928,18,1003338.5,2021-10-01
"FL",2021,11,793,26.5,897171.75,2021-11-01
"FL",2021,12,625,29.25,946067,2021-12-01
"FL",2022,1,915,21,1390173,2022-01-01
"FL",2022,2,617,15,613293,2022-02-01
"FL",2022,3,1031,20.5,1428319.75,2022-03-01
"FL",2022,4,960,16,1180517.25,2022-04-01
"FL",2022,5,1151,22.5,1499814.5,2022-05-01
"FL",2022,6,1388,37.25,1825008.5,2022-06-01
"FL",2022,7,1426,36.5,2010393,2022-07-01
"FL",2022,8,1432,40,1737543.25,2022-08-01
"FL",2022,9,1232,501.75,194677313.5,2022-09-01
"FL",2022,10,921,186.75,13423324.25,2022-10-01
"FL",2022,11,852,69.75,6337093,2022-11-01
"FL",2022,12,750,18.75,1125668.5,2022-12-01
"FL",2023,1,745,16.5,907043,2023-01-01
"FL",2023,2,651,24.5,737523.5,2023-02-01
"FL",2023,3,837,22,1040394.75,2023-03-01
"FL",2023,4,1102,265.25,2559463.25,2023-04-01
"FL",2023,5,998,97.75,1469121.5,2023-05-01
"FL",2023,6,1494,44,3258848.5,2023-06-01
"FL",2023,7,1474,37,2088120.75,2023-07-01
"FL",2023,8,1315,247,12891539,2023-08-01
"FL",2023,9,909,171.5,1990154.5,2023-09-01
"FL",2023,10,716,23,817683,2023-10-01
"FL",2023,11,756,52.75,2759629.25,2023-11-01
"FL",2023,12,788,101.25,1509182.5,2023-12-01
